id,DuckDB Opt On,DuckDB Opt Off,LLM Opt,LLM + DuckDB Opt
1,0.06911635398864746,0.07187581062316895,0.06405282020568848,0.058157920837402344
2,0.031336069107055664,0.02353191375732422,0.024042367935180664,0.024425983428955078
3,1.3402798175811768,0.8828136920928955,1.0304028987884521,1.3296630382537842
4,1.304344892501831,0.8544678688049316,32.926443099975586,1.2729272842407227
10,1.423499345779419,0.8580174446105957,33.981295108795166,1.2998557090759277
11,1.3322508335113525,0.8671658039093018,0.8656511306762695,1.3257877826690674
15,0.057376861572265625,0.02899312973022461,0.029083967208862305,0.0535280704498291
17,0.043150901794433594,0.030450820922851562,0.03115701675415039,0.031230688095092773
19,0.05652928352355957,0.05091714859008789,0.027594327926635742,0.030126094818115234
22,0,0,0.02729058265686035,0.035596370697021484
23,0.0482935905456543,0.049677133560180664,0.0517880916595459,0.03984379768371582
26,0.06932783126831055,0.052809953689575195,0.025329113006591797,0.04254961013793945
29,0,0,0.0484919548034668,0.07346916198730469
31,0.01884746551513672,0.026185989379882812,0.027025938034057617,0.04462862014770508
35,0.0276486873626709,0.030946731567382812,0.029675960540771484,0.03658580780029297
36,0.03895831108093262,0.030977487564086914,0.02841973304748535,0.04383492469787598
40,0.02290511131286621,0.030810117721557617,0.027746915817260742,0.03982210159301758
51,0.0520939826965332,0.10449695587158203,0.031220197677612305,0.03860831260681152
53,0.04719686508178711,0.02549266815185547,0.03122997283935547,0.030601978302001953
56,0,0,0.027207136154174805,0.04077792167663574
65,1.29640793800354,0.8580210208892822,32.85598802566528,1.2834901809692383
66,1.3369731903076172,0.8706362247467041,1.0049018859863281,1.3092825412750244
67,1.3535540103912354,0.8635461330413818,32.69604825973511,1.2924275398254395
71,0.05900001525878906,0.06028580665588379,0.056508779525756836,0.06802868843078613
73,0.057663917541503906,0.04979109764099121,0.04823184013366699,0.03783917427062988
80,0.019275665283203125,0.02754688262939453,0.028970003128051758,0.04516887664794922
81,1.3280439376831055,0.8700473308563232,0.8534402847290039,1.2932727336883545
82,1.3395047187805176,0.864891767501831,1.0020277500152588,1.330796241760254
85,1.3535048961639404,1.0288472175598145,1.0109810829162598,1.3421599864959717
90,0.8909041881561279,0.917050838470459,1.0197687149047852,1.3075578212738037
91,0.0323939323425293,0.03166007995605469,0.030040264129638672,0.04264330863952637
92,0.02141284942626953,0.02928900718688965,0.02876877784729004,0.045322418212890625
93,1.293346881866455,1.026287317276001,32.72707200050354,1.2960939407348633
95,1.316849946975708,1.012446641921997,0.8769617080688477,1.2959074974060059
97,0,0,0.04860830307006836,0.06680631637573242
100,1.3062217235565186,0.8620259761810303,0.869312047958374,1.3060417175292969
105,1.3188996315002441,0.8603188991546631,1.003490686416626,1.3097546100616455
112,1.3034346103668213,1.3170549869537354,33.172524213790894,1.2912509441375732
113,1.3707308769226074,0.8958797454833984,32.766274213790894,1.3108279705047607
115,1.2870988845825195,1.3271677494049072,1.3354871273040771,1.2849421501159668
116,1.311669111251831,0.8789379596710205,1.3368477821350098,1.3319129943847656
117,1.3368780612945557,0.8626222610473633,0.8830294609069824,1.3214819431304932
123,0.060511112213134766,0.055435895919799805,0.02955460548400879,0.044094085693359375
124,0,0,0.039447784423828125,0.03690171241760254
129,0.06342387199401855,0.048613786697387695,0.05100584030151367,0.0477747917175293
133,0,0,0.02978515625,0.029312849044799805
136,1.3254554271697998,0.8660018444061279,0,0
141,0,0,0.026337862014770508,0.04000115394592285
142,0.04241752624511719,0.028232574462890625,0.029345273971557617,0.036116838455200195
146,0.04419875144958496,0.05557513236999512,0.05359506607055664,0.06105160713195801
147,0.06734323501586914,0.0521848201751709,0.047478675842285156,0.05742979049682617
148,0.038045406341552734,0.05086970329284668,0.05150866508483887,0.052015066146850586
160,0.041963815689086914,0.04964590072631836,0.04719209671020508,0.058295249938964844
163,0.06969428062438965,0.05039620399475098,0.0479581356048584,0.042800188064575195
172,0.0251004695892334,0.02704930305480957,0.026139259338378906,0.03458213806152344
180,0.041922807693481445,0.030741453170776367,0.030639171600341797,0.03589963912963867
181,0.07387828826904297,0.050375938415527344,0.04802703857421875,0.06756472587585449
212,1.3043859004974365,1.0013232231140137,0.024170398712158203,0.036683082580566406
213,1.347320795059204,0.8588600158691406,33.393832206726074,1.2820241451263428
215,1.3212065696716309,1.355024814605713,1.312013864517212,1.3227200508117676
