17,"SELECT d.name as department, e.name as employee, e.salary FROM Employee e JOIN Department d ON e.DepartmentId = d.Id WHERE e.Salary = (SELECT MAX(Salary) FROM Employee WHERE DepartmentId = e.DepartmentId)"
18,"SELECT d.name AS department, e.name AS employee, e.salary FROM Department d JOIN Employee e ON d.Id = e.DepartmentId WHERE e.Salary = (SELECT MAX(Salary) FROM Employee WHERE DepartmentId = d.Id)"
30,"SELECT D.Name AS Department, E.Name AS Employee, E.Salary AS Salary FROM Employee AS E INNER JOIN Department AS D ON D.Id = E.DepartmentId WHERE E.Salary = (SELECT MAX(Salary) FROM Employee WHERE DepartmentId = E.DepartmentId) ORDER BY E.Salary"
35,"SELECT d.name AS department, e.name AS employee, e.salary FROM employee AS e JOIN department AS d ON e.departmentid = d.id WHERE e.salary IN (SELECT MAX(e1.salary) FROM employee AS e1 WHERE e1.departmentid = e.departmentid)"
51,"SELECT d.Name AS department, e.Name AS employee, e.Salary FROM Employee AS e INNER JOIN Department AS d ON e.DepartmentId = d.Id INNER JOIN (SELECT DepartmentId, MAX(Salary) AS msalary FROM Employee GROUP BY DepartmentId) AS maxSalary ON e.DepartmentId = maxSalary.DepartmentId WHERE e.Salary = maxSalary.msalary"
56,"SELECT D.Name AS Department, E.Name AS Employee, E.Salary FROM Department AS D JOIN Employee AS E ON D.Id = E.DepartmentId WHERE E.Salary IN (SELECT MAX(Salary) FROM Employee GROUP BY DepartmentId)"
77,"SELECT e.name as employee, d.name as department, e.salary FROM Employee AS e INNER JOIN Department AS d ON e.DepartmentId = d.Id WHERE e.Salary IN (SELECT MAX(salary) FROM Employee GROUP BY DepartmentId)"
78,"SELECT r.d_name AS department, r.name AS employee, r.salary FROM (SELECT e.Id, e.Salary, e.Name, d.Name AS d_name, MAX(e.Salary) OVER (PARTITION BY e.DepartmentId) AS max_sal FROM Employee e JOIN Department d ON d.Id = e.DepartmentId) r WHERE r.salary = r.max_sal"
93,"SELECT d.name AS department, e1.name AS employee, e1.salary FROM Employee AS e1 JOIN Department AS d ON d.id = e1.DepartmentId WHERE e1.salary = (SELECT MAX(salary) FROM Employee WHERE DepartmentId = e1.DepartmentId)"
115,"SELECT d.Name AS department, e.Name AS employee, m.salary FROM ((SELECT DepartmentId, MAX(Salary) AS salary FROM Employee GROUP BY DepartmentId) AS m INNER JOIN Employee e ON m.DepartmentId = e.DepartmentId AND m.salary = e.salary) INNER JOIN Department d ON m.DepartmentId = d.Id"
