2,"select author_id as id from views where author_id = viewer_id group by author_id order by author_id"
7,"SELECT author_id AS id FROM Views WHERE author_id = viewer_id GROUP BY author_id ORDER BY author_id ASC"
29,"SELECT DISTINCT author_id AS id FROM Views WHERE article_id IN (SELECT article_id FROM Views WHERE author_id = viewer_id) ORDER BY author_id"
46,"SELECT author_id AS id FROM Views WHERE author_id = viewer_id ORDER BY 1"
55,"SELECT author_id AS id FROM Views WHERE author_id = viewer_id ORDER BY author_id ASC"
62,"SELECT author_id AS id FROM views WHERE viewer_id = author_id GROUP BY author_id ORDER BY author_id"
66,"SELECT author_id AS id FROM Views WHERE author_id = viewer_id GROUP BY author_id HAVING COUNT(*) >= 1 ORDER BY author_id"
67,"SELECT author_id AS id FROM views WHERE author_id = viewer_id GROUP BY author_id ORDER BY author_id ASC"
82,"SELECT author_id AS id FROM views WHERE author_id = viewer_id GROUP BY author_id"
88,"SELECT author_id AS id FROM Views WHERE author_id = viewer_id GROUP BY author_id HAVING COUNT(*) >= 1 ORDER BY author_id ASC"
90,"SELECT author_id AS id FROM views WHERE viewer_id = author_id ORDER BY 1"
97,"SELECT author_id AS id FROM views WHERE author_id = viewer_id GROUP BY author_id ORDER BY author_id ASC"
107,"SELECT author_id as id FROM Views WHERE article_id IN (SELECT article_id FROM Views WHERE author_id=viewer_id) GROUP BY author_id ORDER BY author_id"
111,"SELECT author_id AS id FROM Views WHERE author_id = viewer_id GROUP BY author_id ORDER BY author_id;
"
152,"SELECT viewer_id AS id FROM views WHERE author_id = viewer_id GROUP BY viewer_id ORDER BY viewer_id ASC"
153,"SELECT viewer_id AS id FROM views WHERE author_id = viewer_id GROUP BY viewer_id ORDER BY viewer_id"
