-1446386076|treat|2021-08-11|2021-03-07|than|-1579794945|1881762342|hit|purpose|-1732286391|human|cultural|time|-522856914|mean|ball|cold|war|future|be|road|economic|with|serious|847.69|625.57|
-159081514|ok|2020-05-07|2021-05-25|sense|-431707830|306490254|trial|certain|552414928|upon|cost|left|-1900663133|democratic|drug|vote|recent|then|economic|stuff|but|month|herself|779.09|278.13|
1795507825|detail|2024-12-17|2025-02-25|wish|154076662|1979296854|campaign|learn|1335857604|we|show|thing|1110212017|organization|debate|four|among|positive|suddenly|provide|suggest|break|because|505.38|942.00|
-2102362279|major|2022-07-13|2023-09-05|successful|140114969|-2144889201|push|turn|1243400625|available|whether|personal|-1227327948|that|audience|Mrs|account|pretty|both|friend|out|bad|history|698.11|581.57|
-1011619358|cover|2020-11-26|2025-03-16|pattern|-1499068088|-147983799|follow|book|-208468961|rate|us|off|1536009358|economic|right|room|agree|fire|ok|lawyer|culture|pay|clearly|984.04|474.95|
689029468|social|2023-05-06|2024-09-19|these|888312366|-888910820|fact|sell|527535779|data|ten|relate|-1410963009|maybe|the|power|when|American|major|especially|phone|back|another|820.00|132.55|
-2048639379|position|2020-06-26|2024-09-09|in|1692023214|-1412819375|figure|attention|-1299629600|recently|play|control|-232683229|at|far|very|toward|out|share|special|wall|develop|her|969.80|351.65|
597503939|drop|2022-02-11|2021-09-05|significant|-127238159|1423598142|fine|into|-531318088|realize|cause|on|1587733428|number|really|father|after|large|raise|sort|direction|piece|huge|149.85|676.50|
2141933126|put|2020-10-24|2021-07-17|candidate|-937558630|-1698236025|attack|plant|1855344960|enough|letter|hand|-1338655132|what|series|strong|consider|small|image|area|his|message|draw|710.58|787.87|
-154243863|which|2020-07-10|2021-04-29|yet|-1512440443|-968687106|goal|pretty|1036057129|country|word|economic|745574750|five|recognize|wear|treatment|focus|performance|change|remember|suggest|number|374.09|963.33|
975839542|quality|2023-02-22|2020-10-09|according|-2092105403|-2132438457|difference|happen|1695419101|tonight|by|week|249453212|hand|administration|senior|million|exist|born|alone|many|chance|fire|14.72|661.56|
1537181550|budget|2024-01-06|2022-05-20|trip|-168744600|-358028202|bed|matter|-1375270667|crime|pressure|audience|-1370295230|our|page|cold|whom|strong|understand|task|born|late|tax|194.93|639.67|
-1339388820|travel|2024-09-14|2024-02-25|company|720297486|729087215|off|major|1915170188|do|ground|back|-412900892|technology|ahead|true|trip|produce|very|road|month|high|because|432.23|366.03|
-1526226203|suggest|2023-11-30|2020-08-28|could|-164241016|-1193574171|they|nothing|-2054845309|face|pass|out|-2144341590|final|perform|out|care|involve|lay|lose|decide|hand|analysis|899.12|227.30|
