1954605212|throw|through|-174097591|step|though|major|term|hotel|character|push|owner|so|525.51|push|
1518640660|happy|little|1421118063|notice|chance|can|program|activity|order|citizen|four|western|724.22|pull|
-1487600009|film|upon|1087277176|hard|number|material|nothing|different|clear|fight|structure|safe|99.76|our|
-2009750298|class|nearly|-1113862180|present|mother|mission|tend|assume|say|power|middle|money|852.62|information|
1767122507|politics|food|-916903450|company|eat|TV|name|perform|newspaper|low|reduce|between|114.65|child|
-220640484|story|more|-1396700043|hear|our|at|sing|hotel|how|allow|rock|stand|913.30|true|
562090423|fact|fact|-262576467|finally|ball|around|left|structure|table|involve|speech|number|655.10|everything|
694243319|book|bit|-345671010|watch|education|family|entire|phone|rich|serve|place|also|430.53|glass|
-20921690|process|eye|2129923863|particular|condition|buy|serious|budget|table|tell|hope|key|505.11|sit|
827308585|who|modern|1695414415|nice|American|education|news|small|still|stock|spring|east|356.71|necessary|
77694749|writer|call|897555219|society|exist|weight|current|save|any|operation|east|vote|992.47|total|
-1446826238|financial|job|2100283425|home|economy|feeling|city|money|summer|quality|ready|serious|722.17|yeah|
971792968|far|three|-1686645892|suddenly|career|miss|tell|ground|provide|charge|them|effort|710.58|dog|
-1410247757|message|book|-505931625|into|option|we|door|now|article|less|seven|thank|657.40|size|
1537004512|response|wear|-777664809|arm|radio|expert|boy|oil|always|itself|impact|argue|81.94|purpose|
-552653175|strong|various|-327603120|beautiful|participant|plan|cause|well|cut|stuff|air|really|511.17|participant|
-1425775716|successful|charge|429410321|simple|whether|nothing|traditional|rather|market|these|budget|eat|806.85|parent|
2123232442|traditional|mention|-1674231327|your|carry|wear|sister|college|long|near|difficult|plant|743.86|she|
-510718062|across|public|946551086|already|little|nation|chance|service|source|they|himself|generation|418.62|word|
-159975297|cultural|but|-774845743|those|series|girl|popular|necessary|find|sound|hard|read|20.58|lay|
1405444837|take|fact|-961244611|today|scene|whatever|build|course|tough|relate|morning|material|216.66|stay|
1236076115|energy|nice|-1705362311|face|consider|surface|enjoy|visit|will|weight|summer|recognize|572.24|last|
-929515057|course|night|-626155592|still|land|toward|begin|like|American|son|respond|hour|806.79|stop|
840444039|institution|note|1922460616|nothing|table|prevent|every|tree|see|successful|exist|now|94.97|anyone|
-1166994646|school|send|-1644590940|character|either|series|become|various|prevent|none|build|look|597.47|improve|
58229956|citizen|create|1288415760|consider|only|rather|address|smile|benefit|experience|public|bar|797.59|official|
-795555989|arm|production|-2108221638|gun|ability|almost|send|network|glass|stock|near|smile|862.28|fine|
1544080608|pass|right|-184934451|statement|bill|spring|test|course|most|occur|seek|offer|702.00|pattern|
651216593|reason|shoulder|-1484650016|local|start|great|race|nothing|discussion|worry|success|eye|455.05|pattern|
-777649487|Mr|write|-1530843943|computer|few|can|agreement|executive|fear|care|executive|simply|574.43|heavy|
-827091629|significant|low|1510129491|wife|address|different|director|probably|trade|friend|tax|American|425.11|yes|
