1994963001|-1338817687|-505038268|1630633976|-1923325414|-596605156|1824746328|1966011443|778999374|1731316332|-1709183137|968.59|394.34|116.93|316.77|775.97|627.81|600.31|483.12|141.04|902.75|260.38|514.48|pass|
-456669454|-1527745274|-1861495499|-2077899794|-2132057163|-909085023|521246195|1005191498|-1602414988|1027308850|385689651|517.34|715.71|690.00|581.37|161.42|468.69|927.67|571.99|63.05|984.46|238.46|646.37|relate|
524079470|-124627501|1431271380|2142188867|409272536|113795998|-1885367103|-393694887|1266368132|-624882483|676334012|765.26|661.02|475.63|557.82|381.89|924.38|316.60|44.47|150.87|576.73|662.06|299.76|clear|
-1913089664|599821989|-1728784453|1000022749|16787632|-1068375003|-1379753030|-1759829234|-1853129990|-2044769158|31872264|978.96|725.63|239.49|480.29|567.86|518.16|80.01|644.31|221.70|255.24|388.01|962.40|card|
-1661143224|-1914248578|829196257|1305990931|142903080|1853122087|-154035212|2075854922|-16213645|-248384626|924323341|715.31|386.11|714.48|512.14|810.04|145.57|386.41|832.39|5.94|790.16|614.55|188.37|or|
-278493923|1892005148|353630115|-120817148|1496760843|353593410|-353329925|308131167|-731623839|-1036741699|1227452224|901.79|503.35|931.94|362.87|951.41|11.17|618.93|18.85|959.47|223.95|139.84|535.49|seek|
698685408|-1131660009|-1174767789|-550027115|309716080|1887892598|938893400|1005430993|-2004508750|898740859|-1226485073|960.23|103.95|38.75|614.88|970.41|953.59|366.10|649.47|638.84|281.31|38.90|587.04|pressure|
-1949634577|-948931460|-516052702|876947683|-2131665989|-1233056698|1454696418|557014819|-341648853|710430780|1781651460|411.31|499.89|77.01|74.95|766.93|941.03|479.05|469.05|916.67|778.33|47.73|542.80|administration|
-244789248|857817084|497066267|-1005335173|1450231692|-1869324733|-1491051451|-1419178836|-1136047412|-1885537360|245346892|296.94|160.58|364.64|224.50|125.47|374.51|964.92|223.43|19.94|735.80|871.95|779.54|from|
-1562973601|282667024|-850726235|-355183471|-574893543|-1037099586|1204678889|278380874|-1052351963|1506301457|-432052229|387.71|607.76|73.33|748.11|429.00|846.26|17.48|169.65|394.50|980.00|984.54|69.76|total|
-1175119187|-29630167|-906610091|203992877|-761260323|794185891|1691420883|597051283|332755021|-2035197211|1767828460|916.73|322.37|913.35|465.29|143.26|103.40|581.07|230.80|626.91|975.77|550.77|251.31|place|
-715547336|-1493205658|-2147168346|-1049993627|-690337745|-194792881|-1575975039|-422711954|-803405136|-292648580|-1069354183|609.43|486.23|22.73|576.07|417.33|694.29|322.19|862.72|206.65|219.65|286.61|482.08|husband|
1370231188|-1107197448|552399225|252930596|888753952|1888098774|-647429348|1677141731|1249200557|-57028697|692126150|799.16|232.27|779.91|209.31|412.19|784.51|578.48|963.09|310.03|534.10|39.96|371.24|past|
1837260575|895265609|1938273573|865291953|1754004977|929838858|802659950|-855327987|-472928721|-73467093|-1042565433|609.02|460.69|982.99|440.04|971.79|529.12|428.05|949.58|154.50|165.11|23.56|691.51|concern|
2048410533|1418695501|2146142629|434821983|-2131731956|-1873930566|-1159257739|-550245750|-1811905466|-1315966556|-3765418|487.83|331.55|898.49|899.77|381.91|599.61|726.39|376.77|666.76|244.90|176.40|688.25|live|
-548090916|1089857196|303729575|-135782067|-624019098|-1995047940|-271849324|484650386|913911522|-2105627699|-1264861018|373.71|609.27|600.12|575.70|659.22|93.11|982.53|650.86|596.26|12.76|537.42|991.16|though|
1312397451|147603624|-836659390|1229565780|-1139219421|-1304518330|-1522256309|-514556361|532775476|-1906395832|-2047420232|440.75|523.53|683.41|794.37|489.97|455.27|795.99|883.87|167.38|792.03|327.68|421.50|condition|
298774987|1383492252|-1436146716|1839433851|520548401|137894093|1519660062|1725229844|-1701580510|-592944262|-1972050346|135.95|265.12|531.37|127.52|477.32|73.34|172.48|35.08|913.23|857.40|503.27|172.53|Mr|
-874160393|1305420369|-1785541961|396298766|-1141979100|1274476050|844058763|-1177769608|-371733248|1901382827|-1806345943|247.53|490.32|736.61|847.59|237.38|302.34|190.99|562.12|839.38|357.67|450.51|887.99|summer|
