1367959903|talk|2020-06-12|2021-07-09|679258036|beautiful|-52361206|1738488255|seat|human|590483096|section|policy|bad|237400787|activity|1900623736|might|challenge|two|five|green|itself|painting|over|professional|make|115.46|76.13|
-49391786|entire|2023-03-20|2024-02-11|1270769379|avoid|-904530537|128908369|start|cause|1165588932|dinner|either|our|-1791392599|cover|1053547908|front|anything|blood|such|age|shoulder|so|across|every|eat|678.04|998.39|
76175495|born|2023-10-14|2021-07-28|-212375529|design|1119148967|728682453|range|trouble|-171233859|history|space|only|676959479|out|447327746|when|college|hair|enjoy|whatever|green|manager|stage|he|share|442.51|640.42|
152455009|over|2020-11-24|2020-09-12|759150307|admit|711254179|-1920067331|federal|ago|876168720|until|chair|item|826368065|their|-720766954|nor|report|its|foreign|identify|treat|turn|smile|whatever|of|581.38|489.93|
-675524115|coach|2021-06-29|2020-10-20|97129055|marriage|-1256216320|-897770498|training|drop|-649612870|piece|political|hit|-1438618930|decide|-1138631984|process|either|he|understand|go|tonight|bad|little|resource|sometimes|978.98|765.70|
1402311943|large|2022-11-01|2021-07-11|-59258480|begin|-781029049|2027343789|strong|loss|-524129700|must|TV|ago|1714540561|financial|-1830094899|worker|notice|provide|seek|ahead|current|bit|anything|building|others|860.61|169.23|
-1200319365|film|2022-03-05|2021-12-11|-856590132|rule|-1479596665|1792809272|morning|later|42933828|feel|however|great|-1271366389|create|-1087486536|film|positive|until|day|arm|type|allow|trip|son|successful|418.19|34.84|
-994106829|need|2021-08-22|2022-01-08|-20095943|face|-1209280677|-626430546|happy|meeting|-1449406024|visit|sound|traditional|1800741316|anyone|-679525769|Congress|factor|result|sit|company|usually|dark|policy|something|training|969.33|990.81|
1432875969|tree|2023-08-28|2022-08-17|826102254|thought|1245907341|-272974818|concern|threat|1337010399|pretty|husband|participant|1423267701|general|-1632218654|fund|baby|alone|both|success|maintain|popular|positive|there|forward|90.80|957.94|
-1955023445|bad|2024-03-04|2021-04-11|1991684188|collection|1788324171|485960937|market|deep|-1192224964|send|voice|responsibility|-471076409|life|-1959534987|church|practice|may|project|impact|sea|item|quality|what|third|123.56|210.09|
1450104121|these|2022-10-28|2024-04-08|539103514|read|-1398407095|-274950784|outside|appear|1550214811|large|such|after|256146753|hand|-1573993433|why|thousand|entire|message|happen|realize|year|scene|sense|growth|194.44|736.96|
284813817|spring|2024-12-30|2024-08-12|-458483256|wind|900787240|382978369|more|main|1110325871|court|behind|stuff|2077431479|dinner|1827358739|similar|director|politics|fall|high|west|expect|light|shake|system|465.45|740.82|
847506999|measure|2024-11-27|2020-07-01|-103087245|level|1002271070|1976964975|fill|fine|-132211884|area|next|upon|-1227227725|trade|1201108060|true|never|may|character|that|join|explain|behind|world|item|738.31|950.27|
-1202634037|serious|2022-06-10|2021-06-02|2142708427|step|1326899411|-1605442325|think|see|1320874467|live|social|cup|2017050583|catch|-1933336693|direction|big|city|care|candidate|wide|this|Mr|field|address|853.06|853.58|
-1230714973|third|2025-01-16|2021-01-14|606713594|improve|-225060710|1120702257|lay|person|-252882385|rest|join|most|-566023111|simply|-1604106550|us|role|loss|task|fill|sport|far|account|nice|support|799.54|731.50|
1939901376|kid|2023-12-05|2020-10-02|898189778|before|-506603107|-779690082|force|yet|-1238490079|want|positive|center|-432619304|herself|-500926222|reality|million|ten|stage|including|along|student|camera|rest|help|77.31|782.71|
-1411985347|news|2024-12-02|2021-06-25|-878354850|song|-1038188974|835098286|street|time|-1284411906|here|road|order|985620681|down|1053437100|adult|near|popular|will|play|per|recognize|activity|outside|player|369.23|602.59|
1300724851|interview|2020-11-20|2024-07-20|-1998375483|agency|-876798822|1907927811|cultural|action|1176160749|word|military|small|1437915463|among|-2111511205|strategy|buy|front|before|take|learn|large|shoulder|task|religious|623.28|807.26|
-733014898|off|2024-02-11|2021-09-04|-266838698|couple|-962486629|2117598210|short|argue|731200615|song|present|attention|1399505424|customer|-1509057602|life|choose|film|environment|run|truth|give|between|to|course|605.90|801.24|
863889002|center|2022-10-07|2022-02-25|-634930041|heavy|727435681|1195505442|individual|want|-1924752087|Congress|realize|look|407865776|phone|739415352|hit|pass|about|from|and|your|his|race|page|military|802.16|967.03|
398916435|economic|2023-07-08|2023-07-07|894394445|start|963232689|-1305201539|stage|economic|-89707778|majority|she|down|527125595|already|1319439027|street|few|mission|check|management|eight|learn|glass|maybe|recognize|979.38|591.48|
1207131980|still|2021-02-13|2024-12-03|1813063200|idea|1812873739|1552796195|theory|like|-576221017|there|upon|play|656645689|none|-1270090179|senior|school|past|lawyer|should|stage|them|article|walk|need|954.20|27.04|
-1473368554|question|2024-06-22|2020-06-18|-501974631|economic|958539292|-1127387983|style|traditional|-1375797108|stay|everyone|their|673625967|economic|-499234614|case|before|attack|foot|rise|strong|direction|effect|team|impact|333.82|536.70|
-676981416|full|2022-01-19|2020-02-23|2103281901|enter|2042006940|902852622|world|within|-1894084475|long|ever|new|154255736|result|337139492|focus|among|story|life|art|Congress|theory|child|century|any|469.68|364.13|
-1940843669|important|2021-08-28|2024-05-01|-620919883|north|495800063|1246727828|list|pattern|1827670047|paper|thank|girl|49997554|arrive|-781961819|else|last|less|above|member|be|seem|executive|part|number|472.46|781.46|
-538406101|party|2020-09-23|2022-06-15|-977359580|long|-1748007761|-2032587205|use|listen|-955059107|author|article|somebody|-441347668|fly|-651760865|me|crime|raise|yet|light|consider|term|pretty|evening|key|878.44|601.53|
2070801734|would|2024-04-09|2022-11-06|1103512363|agent|-1460363696|-1443755568|child|pretty|-658982341|throughout|image|particular|2026570738|large|696697906|current|own|impact|staff|six|beautiful|executive|coach|well|tend|552.67|886.39|
879830801|every|2023-11-17|2020-01-26|466950781|federal|796053813|1503828524|who|wear|1049745121|question|tell|help|981776900|of|-1177787543|office|partner|your|minute|manager|dinner|sort|great|would|say|922.75|121.88|
1048256051|social|2023-05-14|2023-07-19|419928407|day|396009696|2037512178|law|store|-1472659641|year|people|those|1258979232|too|-93877428|security|single|item|friend|likely|leg|speech|city|detail|do|719.97|187.25|
-885831913|their|2021-03-29|2022-03-03|-1694276174|box|-1296386164|1792838037|cut|quite|-367326585|the|world|son|-943876684|career|-2137240297|community|despite|law|sort|quite|prevent|evidence|little|wrong|sound|824.50|705.79|
-619056731|choose|2021-12-15|2020-12-13|-1352077201|deep|-718553531|96237357|factor|store|-445054754|civil|magazine|black|-687121999|history|-440266162|blue|Republican|street|million|election|only|this|quality|certainly|student|953.28|185.67|
-275083061|hit|2020-08-08|2023-02-19|-344749491|population|-477720212|928748315|manager|surface|-224947519|live|reflect|believe|-1876602198|meeting|1235388542|particular|region|movie|recent|number|very|heavy|boy|perhaps|be|814.99|452.23|
-962323507|weight|2021-05-25|2022-07-14|57149690|between|-1621837502|1984644536|the|want|1203157805|imagine|customer|story|-1276340132|indicate|-856894928|a|activity|figure|story|hand|three|next|again|economic|today|630.87|296.80|
872745470|partner|2021-10-14|2023-08-06|1122849102|there|441556843|855907774|raise|loss|-857090360|visit|democratic|cut|1677558848|why|1414124876|fund|traditional|decision|section|their|themselves|model|computer|grow|near|560.80|164.62|
1496867864|since|2022-06-05|2021-03-11|900945654|real|1952243449|-1406242291|build|experience|1017581306|story|near|run|1205211247|wonder|1185888954|anything|matter|home|determine|interest|investment|rate|hair|produce|benefit|755.76|118.18|
442796253|finish|2022-04-03|2021-09-07|-296985510|attack|-801656406|-627546171|machine|rule|437842221|bed|writer|their|606311964|whom|-1836242625|fine|teach|technology|watch|until|girl|through|condition|continue|push|3.77|408.02|
-35354213|responsibility|2024-02-02|2023-07-10|-131713413|me|-1987535314|-1917403725|perform|decision|2010701959|guy|such|discover|-456267209|medical|1700810843|avoid|base|room|note|key|ok|on|few|size|hit|800.91|280.51|
-281157821|recently|2025-02-28|2020-03-18|-95436378|visit|1425712739|-1276274679|fast|hear|-2113960744|agreement|total|my|-1392894562|indeed|-1979854124|successful|deep|performance|throughout|nation|science|score|speak|might|maybe|138.66|430.82|
504116726|cause|2024-08-18|2023-09-29|-1349854243|lead|1270821857|576181188|hand|Mr|89102370|crime|brother|in|66891930|mention|1566085146|go|without|address|particularly|light|we|create|expert|concern|financial|952.97|261.34|
1793475759|want|2023-12-14|2024-05-20|-491268639|herself|1555862349|68553882|sense|subject|170020634|like|indeed|expect|447532242|seem|-1993631362|worry|final|focus|would|evidence|add|center|about|mouth|democratic|909.44|843.97|
