-384095045|-643695693|man|401289003|-1298553506|
726141120|1118178900|fall|-1057361567|-1228603476|
-1577952656|-994546523|figure|-1879538987|-1567175131|
1257384799|1872349662|sister|1672837899|-840453849|
-1412065282|-1956408805|film|527741947|-2019460204|
-1766593025|-1249601350|house|-1578525626|-2081747335|
1514626862|2020235795|from|1900138164|-1737620968|
-1217318633|-1411664221|threat|-629621671|763001892|
1017408732|2047258224|then|1162619464|-252176675|
1268330395|249412563|fire|715608849|1834991515|
-653092133|814436592|attack|-1357580162|244901811|
2051714635|1965247037|magazine|-1465623877|-242622437|
-1728753203|943113848|rule|1351909732|960428997|
325991055|368376334|specific|1289634531|449421750|
-1398325337|305096047|agree|-1783178051|2132112819|
-1112123779|851983929|successful|59206162|-883172789|
1743800427|66292384|sure|-8547452|107584730|
1093152386|478744314|clearly|78909449|-1193803348|
705899607|1127907792|set|-2051603047|-1000320505|
1055480577|595592327|although|968839491|2091162459|
-825607807|-1203299055|mother|1281744099|1403570439|
-803276593|-1570931301|factor|545507440|-1752880760|
50187549|1969759468|include|1482044745|531401682|
-1662404246|1981386630|campaign|-425941180|-1260034235|
1482680300|-1832291328|age|1307270267|-822214655|
1801813564|-914436700|mind|720701853|-268398843|
-1400066143|562410514|knowledge|-2106204882|-343277928|
1750407439|-98038836|field|-746330202|-1545909185|
1100905545|-2031249986|bring|1739594970|1219632177|
-1317823889|393429111|left|822572733|-658502503|
1411029921|831440077|top|402164965|1554191987|
1881208040|1274412900|democratic|-1322888979|-1841621758|
1987718872|1919918022|plan|-43151264|-3087020|
-1154265124|-653767104|day|929230877|-2102445363|
-22208046|-682868350|forward|1434764007|954156602|
-1742975715|-1143082172|beautiful|252084427|-1478896020|
-197259514|143216557|type|-452720279|-349730424|
1160226349|-874404393|agree|-1317114941|-988068017|
-2073657164|1268774931|fly|325916259|-1624494433|
-958776719|-2026136931|same|648763342|-1037840156|
448526987|1868572014|mean|1858244186|-1284170811|
-1814052876|-121012756|great|1048394431|1406315787|
1075831324|422414324|mind|-172770205|1611921738|
-1866296699|1499243994|national|-1909435566|-400941578|
1257381505|657298397|have|-780002168|1068907803|
-178903047|202410147|occur|1267573363|491657924|
-1579086760|538766907|save|1153137451|-1805203784|
-1082301369|263364774|successful|626730272|148966362|
1272607283|-1502846360|pick|144762722|-326533483|
-1819714595|162668613|sing|-138612073|1322348995|
-1568906664|-222828885|type|-877756163|-11850055|
-239825932|-436163449|old|263610792|-216696040|
-1291778202|1617302255|director|1336018599|-1502999327|
-1907293984|-2089596241|security|858291088|449663501|
1602673342|-1462545490|interview|-1308614627|-1827314661|
-3263638|1536404716|sister|279816411|1851620197|
-2028013139|1779972250|approach|-573828922|-439383442|
-439439283|-1096447519|attorney|352870844|421798897|
-428577770|-391295194|defense|1500895179|1123598580|
-370010786|-1237927974|often|1405075551|-423700167|
-1925941314|674949120|measure|-379829729|-1373416070|
761811615|-1698820327|evidence|1581731394|-1945992241|
306235888|-1732886419|training|-452900511|1603723700|
-545476430|-160637452|affect|-308403096|-1810210291|
-158461441|1097202733|single|382154736|499455367|
-1451798446|1785165762|hold|1558774816|786009376|
1819246606|1576862068|serve|1306982086|57247504|
-2077484523|-389182242|likely|1943381996|-2086952638|
520724413|-2109381085|order|164175195|1152673951|
882875884|1897774285|general|1120988034|-1719142330|
179489580|-1221752008|future|-98032050|1234249261|
372257801|10044734|themselves|-1528818380|-1992830973|
1696183693|433675441|fast|-442187153|-842070419|
744024181|1062120266|might|2088165871|-1165913977|
1086399201|-44671495|couple|-1542535169|319847012|
1740906440|-1588748953|surface|-1605685261|1097789479|
-1984233476|1041861885|year|715465043|1165994156|
1367060024|725383131|analysis|-5936446|-1621951007|
102490100|487272835|property|-1256015115|1008932553|
1142858838|-806794065|three|895323425|219099227|
2089859391|-238578072|east|1021339152|-430245050|
1355362660|-2136770801|act|-351624853|962329143|
31006760|1864339561|amount|1165885302|-1054559912|
1829005469|851727223|service|-87033969|-1080108799|
1991920075|1657825962|open|148193473|1523009860|
-1881159907|-1351693808|now|-48812896|-323001186|
-69434221|607344565|only|745635927|1184653714|
1867815641|985894345|rock|-1152901440|-424762218|
2078873219|-1651200314|light|38984130|-233099125|
-1719622304|541189963|soon|1827300665|-164067769|
400099116|-1383028557|power|1594555146|-376829715|
1010420909|915909634|able|-218509606|1423336730|
-357424667|982778631|draw|-1720602427|151238943|
-1866825982|-1710979377|spend|1501439662|-2008240711|
1856189022|49792648|book|1498248268|-1563730040|
-651553456|-1230953934|their|-1441960679|-1952008150|
-827406658|-618584749|write|619919992|-603952756|
-346758442|-207783030|give|-1879949413|-712902815|
-1399993842|1257440036|another|-797127825|569760262|
-960165151|-268047702|difference|1841864281|920550446|
