64200431|general|2023-06-18|-1505815206|-930700617|-955017489|-1187172804|-990756914|595860448|-900125831|-358553528|645067709|1798228332|-1846649131|heart|guess|teach|push|adult|1604435111|178317432|37509433|-1612422368|attention|scientist|interest|race|black|street|
1860723321|social|2023-08-11|-2025564056|2121479736|114646337|208601665|-954319047|1261959328|-1218134757|1304009771|548244840|-1159397307|1258371069|old|thousand|have|truth|there|-1758900266|-1186390446|-1875975416|-781056723|step|clear|thousand|hot|small|room|
-244082756|individual|2023-08-12|-1770463984|1782754586|-1850312407|-1230970164|967340619|-193922396|1866890361|1606222495|1315905622|613789226|-374323458|say|skin|always|third|performance|-2113982340|1443047871|733639427|-1849558097|check|consider|woman|white|attention|government|
-397737129|generation|2024-11-27|-367369109|-752274581|492008414|395385188|1115458384|-967901594|-25856610|299180234|428158938|-1697122920|-315395386|opportunity|rest|man|minute|big|1937874937|-868781415|-1840980645|-601559803|identify|budget|begin|see|task|up|
-985779472|young|2021-05-30|962323437|1421984944|-653641836|-1412181577|-1097028183|1680686321|-560646916|-1487819871|-1261310666|39472133|1932407164|reality|glass|system|open|me|-674635335|-1739765257|-620568025|-327773383|part|can|road|reveal|blood|charge|
1460161248|never|2024-06-05|-1040355709|1339554958|-1380801992|-2102743748|1236572266|-59601237|250661085|695223403|1855036300|287078628|-1013418093|government|policy|expert|work|affect|-1016326987|1379522092|213700844|-731907110|country|position|step|prevent|discover|act|
-2065914184|attention|2020-02-26|-2106975946|-1316273868|2104640025|317333688|-842094903|-339167650|-1785910946|1040256374|2018160924|-1083489970|-773158497|require|social|sort|single|himself|-791022577|-1851982905|1634176489|-1707727041|unit|lay|middle|accept|relationship|fight|
-467135056|tough|2024-06-16|758454910|1977211579|1536429981|-299617893|1483949197|593331204|1101789426|2111541007|451824807|1541218667|-1763559941|degree|firm|huge|city|them|-1894491100|714060352|-881098581|-728963363|analysis|thank|science|official|across|level|
-12194074|alone|2022-12-27|1987955897|1977517390|1190430045|-2026827249|-1358149041|-222282839|-963951191|957802460|-1166551951|-516517047|275533945|drug|government|prove|concern|court|-644164092|-1028789524|387531989|-25581464|skill|resource|direction|already|owner|feeling|
887767480|lose|2023-04-08|-1000117171|-1080621467|1541973676|1701702720|804710128|-1933214786|887133097|1776965646|615350170|-304717605|2052698218|customer|simple|including|training|accept|-1603517946|-1780325037|1950282432|-2053229380|sell|girl|yes|public|nature|might|
-1272401379|available|2024-08-15|13213980|936356335|-889093777|1779306181|977501669|-1648169186|131722553|1174349059|-95415263|1585134236|770686119|grow|leg|wrong|old|anyone|371034718|1330511444|-1815175858|-422814696|support|look|PM|well|up|few|
296618202|tell|2020-01-10|-1403030071|-222645992|-851068952|947534921|757089221|-678322633|2058183378|-995394241|-930555988|1732441347|-146202011|computer|stop|traditional|book|of|871911959|407075120|-1645317110|406529349|keep|film|include|former|although|sister|
374351161|bag|2021-05-13|-616025040|621643804|2036604655|-1477800014|-810614312|559096780|-356706068|-33966580|-1807556880|-1711754475|-47318310|site|hotel|child|serious|property|-1226356497|-711696966|-1457900176|-1332912759|century|meet|line|radio|perform|just|
-364532509|single|2022-12-22|-873654348|-1057055464|1115383641|363251352|-927933102|-1160708005|-2081673744|-1593512817|-1993693888|800949647|254342848|pull|soldier|heavy|benefit|stand|200686814|1873155961|-1167346841|2037215110|structure|staff|onto|if|democratic|Mrs|
1838755325|model|2022-11-30|-1813089270|-1321991438|1664901876|825879019|946853551|716415224|-795993849|393407031|871022600|56261070|-981950315|include|far|vote|far|again|948342256|568440938|1225814769|-547373095|necessary|model|sort|south|various|ago|
-64954318|else|2022-03-20|-1880863620|-1028159328|-2041728391|77626043|-179355128|221961347|855427899|471252771|401793042|337520300|762738901|whether|reach|week|its|two|-937029892|-1760499355|432171358|21792799|save|him|discuss|teacher|third|speak|
916755935|notice|2024-11-15|-1498070995|1164096826|1630212468|1857820826|-742137422|-2009149899|795253731|1565423730|-1562932414|-36255915|1530812322|be|manage|significant|could|pull|644418068|-1948121796|-1517463628|2036641470|red|model|hold|bed|hundred|get|
1146182678|to|2024-04-02|-491022305|1247830492|-53451828|-451802695|-262700094|-1115367663|-345465516|-1622687607|1799787948|10711340|-1747240367|without|feeling|paper|source|service|1037696574|1012943186|-164015018|60980151|front|candidate|later|leader|hair|woman|
-1306180766|trade|2023-03-16|833162199|286452240|-1105266353|-1319000938|2074773987|-1672486395|94054902|-1644916715|-578421873|909682195|-1756053179|training|day|full|seat|short|-670114318|1932847251|1850330013|1247943838|husband|cause|young|oil|wonder|hospital|
