-1799766165|-2068943716|1673104459|315784183|1971628275|1452306036|1441499395|-2047244230|521064378|-1946178512|-539241229|402.40|509.58|709.85|119.68|69.68|569.53|449.28|420.48|855.80|stage|
757912702|-1849557863|2004569903|-692868627|743830470|271502733|-309957815|1904657819|227885039|257406479|934800238|444.13|327.61|855.16|575.82|478.04|151.29|683.56|524.35|176.23|town|
512191822|-2014786008|-116033558|-434610927|574406924|248833332|1802049158|-672562188|-520951041|1393049406|506081919|526.21|843.56|936.46|395.50|820.98|804.79|139.88|715.83|777.25|side|
1734310827|6587841|-1713454758|1347584056|332702513|249870033|-837035171|787716520|-1166127326|1854340598|2141342158|160.91|426.13|973.31|583.39|353.19|863.38|743.48|249.74|347.17|discover|
649839643|-1759367970|2074449074|-1654234367|1077661270|-444220187|-1698306672|1711739787|1356081118|594776681|-104528680|305.31|154.71|596.66|244.36|84.51|637.47|869.85|540.78|163.38|door|
-2041292239|1478476884|-686440481|125695280|-913112219|2023843332|-845274859|-1867174890|16853716|-415331809|-52437994|234.19|31.85|563.05|533.09|717.01|736.25|137.53|606.87|812.64|put|
337711594|-422058982|-1329436810|-1358321677|-1681490459|834219115|-1327037465|2052073462|557517989|-2098475360|35526172|562.51|268.55|731.44|592.85|298.87|341.99|264.66|632.14|646.26|win|
-50648137|1144407594|219886067|501052618|599180600|1032473939|1650157012|-1764495159|-1697701713|2134578740|-276148572|1.35|752.46|203.26|386.43|519.26|18.43|834.87|748.56|74.33|prepare|
-1175814144|1050836950|-137118638|1549307526|-20882213|1668498194|1726223795|-890341525|-628141954|1729253468|-923807068|620.21|381.04|369.11|764.73|476.94|809.22|272.65|820.54|676.95|degree|
-574830815|-1552936127|-26953370|-1735647734|1143587919|1756144292|-1025133672|-958870248|759618591|-477278393|1066913624|429.30|690.24|87.84|831.01|667.27|344.54|365.00|193.31|143.91|adult|
1913682462|-1166776759|-797934054|-1780717995|-137680884|-1390004354|-1911267474|1543165434|-769728638|-1756314048|410342986|527.59|768.08|454.42|451.03|355.23|927.76|54.14|325.08|822.61|ready|
-770875012|457118712|-1966378225|-1114691336|1235025010|1060570131|-1512146641|377502331|-2144936528|-1692527104|1302729977|712.07|298.45|716.70|165.75|584.38|155.95|675.84|635.41|278.00|tend|
1018358103|736536580|-1931767611|2116314685|755525063|815186898|-226255302|2085053205|492162372|-1462644080|-1485695186|543.98|321.80|281.16|849.26|946.92|326.51|544.88|200.71|428.19|media|
1668093726|-486512289|505780784|-2006567259|-993683354|104987269|183692063|26736307|-1836994190|-1712887794|-297899770|703.94|138.97|764.15|218.72|814.23|201.09|4.62|606.86|84.31|quickly|
-1122723245|-1169270649|270752927|568376471|1919185868|693440716|-1385448523|-1409614946|2095484014|-859968309|482592496|272.63|813.12|941.67|880.83|762.57|56.80|257.62|82.96|190.11|short|
343180460|1233512687|132255882|1833760345|-1143182441|-723148144|1658233084|-643819111|-385789259|1873023921|-202172167|117.45|354.83|822.20|950.20|926.72|24.87|944.10|400.69|773.65|method|
1997579541|-912376498|219745026|-2114067392|-2080812290|-2048973925|-389132802|-1506064892|-142860797|-1108448556|1149584992|358.58|130.36|153.62|261.05|344.24|218.22|799.18|292.51|443.37|maintain|
200970349|-1487172708|-1668667395|-1435711592|1176985976|899410887|273460187|381264862|-1506637001|1942848683|276421214|375.80|298.32|701.08|762.39|567.14|161.77|298.25|922.57|43.27|letter|
1003229030|-908125585|-1092964410|748975112|2124201443|-1375959671|871488881|-1492925554|1073144243|-523427914|-1960488871|644.12|945.31|435.83|224.99|951.67|688.46|924.34|484.39|622.85|much|
553522779|42201610|1564766754|1566637886|-321996817|-1321818530|1704041948|-1820820603|655185607|-306654004|-640298922|806.95|18.21|480.01|744.75|272.12|882.29|35.38|134.15|278.26|claim|
-514120708|-567039352|1186147371|1899041265|-1116921463|372341028|-109516647|-1214184450|-459790801|-1429297056|696357638|81.44|779.60|385.73|11.19|307.89|677.02|430.48|486.49|417.92|own|
-1013901864|-1473387292|760980767|367311243|-2071166334|-838543735|-1916038317|484051921|-1766434696|-1054433667|1462805308|512.45|996.76|69.40|565.37|960.99|416.31|746.47|396.16|411.85|may|
-1136426843|-466516309|-770934559|-1329002525|-1396403998|1032505768|1903258547|375644710|-179633870|-1204315633|1443302928|169.15|51.32|796.41|890.45|515.61|200.48|309.83|244.50|874.82|close|
2095338602|-1951977344|775468376|-1314965910|-303147177|159553928|-1831869906|728695848|1760226312|1232345603|1505130756|551.78|696.90|471.20|262.15|960.71|146.56|92.80|190.90|722.00|difficult|
400146375|-1902573139|66385300|210063716|1546115265|-2138651603|-1004520200|-218160123|2039518953|1414504746|243863408|284.57|143.41|586.18|349.56|911.90|774.20|255.81|8.84|845.88|toward|
-467195010|-1962065699|-1604080142|471028885|816116501|-1835356103|-438867776|-987842530|-542243574|1398141781|1289015409|723.90|851.45|612.56|455.27|778.13|812.08|362.42|15.43|788.87|tax|
