-785248103|151613143|-1225823661|-480798968|550052112|-1352162518|1590355052|2020667389|401596784|-959408631|-541779526|-801479280|-1702769577|-254556964|-1768237181|553862333|-428683476|-1375166208|-813952530|959.07|975.60|519.08|506.11|250.86|858.09|422.68|747.10|882.98|786.90|721.98|987.86|872.55|603.33|94.17|blue|
1560046674|1299904383|354314730|-2056515064|1123171500|-1167947080|919970943|2034965509|-1187557753|2019150537|-110454550|-2084141209|-1060858204|-1813051015|1791316581|1740126173|916227310|-643480901|451300280|124.27|210.99|98.42|861.17|658.91|585.04|19.67|7.11|645.63|923.73|97.78|519.35|675.43|3.92|913.45|health|
1459729362|-1672571774|980621393|2030456820|-1862618155|2050500949|1139771181|2066377795|1810623819|1288078172|-1391342872|-1605295836|-557405811|772660674|-1666208362|1168340294|-83200296|-1564145266|-299452119|153.24|801.22|712.81|703.53|694.78|498.50|608.20|198.20|616.38|332.00|992.19|91.56|546.33|415.32|252.19|camera|
-727145602|-537047855|778936897|1734597701|1350807018|1826201891|3543549|1156736569|-647336|-649225553|1502678793|-217001131|-824699775|1395081251|280769117|717181148|-1331298841|-1990772563|-1490086656|167.71|76.69|721.66|178.63|708.91|945.50|205.22|642.88|605.33|391.32|360.97|740.94|234.33|215.43|143.54|name|
3049104|-2039879439|1284575393|2064615575|-1421343819|1563358515|1945021680|-1805182990|1701206675|673016437|-1419419754|186553236|465714844|-348721302|-1064488571|1214606266|1621370126|862969672|1150405795|257.94|423.53|282.80|259.52|449.38|871.11|892.30|778.14|388.04|672.76|826.57|185.28|667.01|143.37|349.79|child|
-942677851|1238529173|950098226|-1557738373|220224945|-1402886121|-1995930820|1074968213|-888992046|-294641806|-1121835182|299708770|-1092485950|1085446385|1795796335|-380114737|-625452226|-928685311|16134725|419.14|260.71|422.62|576.70|156.50|66.52|678.25|975.55|854.85|951.81|947.14|746.01|403.97|719.58|212.34|letter|
-1717325173|1037806600|-679415433|1591632499|860925716|-371106044|1502917405|-987423625|-1799928498|1401275359|-706825976|-1157762199|1278633952|1922240863|-153452019|2048210771|-777091991|54504005|-136675493|513.91|177.67|214.42|959.03|18.86|334.17|125.23|232.33|633.06|721.39|115.14|858.48|581.36|389.46|813.69|hour|
825173196|-617507664|78800306|1435512152|-1786213838|-545990499|-1014309278|-1387457784|-292661756|809938795|709776412|-461022914|304336925|-1175844090|1074109822|-447209415|878780235|29256946|-1754659913|856.95|989.04|454.97|632.42|728.01|734.58|378.96|744.93|564.42|343.00|240.80|426.27|340.23|114.87|927.14|keep|
292080195|395931736|1918878660|848094429|-762970045|951795112|790908200|-1842668453|1119418074|-1545149263|1019587208|154355485|-1571930780|-366737056|-403599152|74858964|-848511204|-415929831|-1675281407|848.38|596.01|569.35|223.81|722.18|536.26|562.64|935.28|744.61|41.79|616.03|697.22|708.77|27.99|669.56|or|
-2001696279|1197872295|1387866726|-1525218418|1677216041|-1456867124|-1183240865|-1647851956|-2126586187|-1183027418|-105985453|750873470|-699866818|959384044|-384994424|1488266863|775982879|122349313|-1058884643|377.98|629.28|560.32|56.49|707.57|677.14|618.03|941.64|574.26|561.44|5.78|64.00|159.54|474.02|796.97|surface|
