-1401865168|per|defense|kind|-597699273|avoid|-957200793|1728133166|-2117163662|
-1129528519|help|resource|first|-746869529|necessary|-1932152293|1430644630|-2062101999|
-477789448|relate|red|today|1154297914|fine|-1630050988|-845877983|1397912791|
-1797809025|so|throughout|inside|1634582896|tree|1247050577|917937551|-778827632|
-1083557265|dinner|close|speak|-1428458164|kind|-649500271|659983371|1756176192|
-576827611|that|prevent|quickly|-945678390|seat|-1141929447|1611471583|409486988|
1334683390|much|these|individual|-924371433|where|1852498585|443685909|1710499337|
1093555229|her|machine|staff|1395539571|skill|1367295544|1275830444|1787534732|
1070265369|he|agree|raise|1143634706|school|-816670894|-946270127|1477512871|
1778529609|reduce|environment|use|-1432172996|television|-748322599|1606926561|-256287967|
1397200965|who|than|subject|-530130856|amount|-1069002501|-915891391|-2030713832|
1140310019|her|recent|make|-1952518510|learn|1990961429|-1981815374|1782239745|
366987379|whatever|evening|provide|-1532249142|action|1839323522|268071094|1522828345|
1665063469|ten|politics|but|-783264452|dog|1423597053|-363208632|-1540518472|
2133857583|nearly|key|it|218244535|green|-746792654|2087715524|2032970264|
1411991373|simply|value|up|-927288214|product|1561410786|1238493823|-678425673|
-2012339891|defense|yet|contain|248834068|federal|-1572691996|700557206|36497583|
1473613198|professor|would|heavy|335204385|especially|-618434588|-76580902|-1417285409|
349516413|future|per|my|2063342851|little|244883181|1710207890|1032354769|
-1871338027|just|six|there|-2087683580|behavior|-501955632|-504278090|-590004483|
-1192577816|serve|source|society|-662191325|apply|1246567329|-209526496|-522753648|
1686705678|interview|four|successful|-2141205613|election|-1071071426|736016672|-540769215|
1410533500|street|interesting|letter|1044191609|particularly|-212472124|1274270151|-1055170144|
-278398152|table|sit|hit|1574028523|point|-430807984|803976265|-1943396662|
-425670914|how|sometimes|child|-66546317|man|-682714672|1975288620|-1662277155|
2034846671|do|letter|home|-2006489265|whatever|1046930257|336246490|-2130512572|
647423290|thank|executive|window|475034751|hot|-1127652467|946136621|407993043|
2053893299|behind|hot|sell|-331156386|way|-1871241432|-1492857604|-1067466598|
-1105990347|attorney|skill|us|-793621209|study|-137317661|-1844815312|1426865949|
-816989372|kitchen|almost|old|1717407934|experience|-1198204204|217666859|1289825112|
-1766978889|image|true|ready|-1187268476|us|-1735312110|-1683524714|1309018536|
487740864|throw|TV|finally|-2108807021|story|-308336911|696240761|1841731876|
-1728933700|get|before|field|-1269847349|future|2053652002|1319010565|3372934|
-1203308618|development|save|walk|391598755|national|-924709501|1033071184|-139942645|
-812513443|event|way|generation|-1484802082|spring|1087423134|167499204|1168282950|
-445880916|begin|expert|minute|290555479|item|-2128127884|490182324|1207643181|
-1280400421|head|music|deal|724422009|fight|1567464186|827895453|-1889499719|
801482877|participant|century|left|-67133562|will|-442438366|1921166109|-591700537|
108175095|its|seek|color|155786299|report|1603097759|-267574015|-402408340|
198630937|behavior|color|group|-905272208|Republican|-916365638|1812335150|997184012|
-364662038|miss|rather|strong|-1865330767|hospital|-673897873|1058953700|1398153714|
-1818638812|worker|seat|group|-1741403169|number|-1301809698|-810220337|-159993853|
1078650303|pull|kind|series|477291602|if|-1805757984|1963014975|-741833579|
673869768|as|offer|become|1231841907|theory|921785011|1836736181|771966793|
2125202982|beautiful|child|point|2008772017|finally|1592492045|-955224566|-1280917195|
1226409725|understand|short|service|1112075288|machine|1551824069|1640738179|83328186|
-55903209|election|image|interest|2105120277|nation|-890284021|1826798856|-1592093105|
-1560747997|discussion|buy|today|1250495281|item|1144569821|1616130777|1070284711|
931155015|wish|author|start|-2067916616|board|-1503027824|-1539455238|-1265565076|
42430715|democratic|day|on|1430111457|front|-1831350311|795532617|1495009776|
169163031|left|minute|really|685477595|under|82077227|-658262191|49177710|
-491546322|rule|enter|task|-867530817|grow|-1104495487|-1261061210|1379364337|
-905368358|tax|office|both|1141395416|plant|-185264071|-1239643600|-996408227|
-2033453297|chair|tell|big|1770606267|hotel|-1802426444|516346328|1960260336|
1765076593|common|avoid|challenge|-764778279|care|-1750281089|1692059335|1182203391|
-198957603|local|natural|final|-447091670|opportunity|884459786|760304958|-635776928|
1545744348|guy|same|inside|1746564597|lot|-1549729545|-1533283096|-638163598|
-1260407092|discussion|drive|sense|111004088|approach|-313662569|-1583686341|2120274724|
-555950503|issue|sister|teach|1958448518|try|-548417328|-1177430160|1070290528|
-1326566418|finally|part|radio|-930818099|improve|-469945288|1607835421|-1111791703|
-774531539|measure|nothing|enter|587849833|receive|-58333403|-2025278020|173424158|
325473836|upon|smile|of|-67589062|write|-218536472|55918549|1295314344|
-3431031|understand|anyone|customer|1563049566|could|-129238672|-1775026855|1182383925|
-927620330|reduce|senior|quality|1712380476|friend|-414474767|1795634185|543435457|
1526284194|hotel|now|activity|1312984562|ready|-78897282|1850668547|1495846113|
-1901379824|growth|for|nor|358709020|adult|514767892|-1531399470|1572820985|
-1262925147|name|area|agreement|-1371857755|note|-813083611|-119109992|568120704|
-709876840|accept|somebody|forward|739694379|until|81417183|-2022369362|-1991994950|
1201944406|billion|necessary|I|1756317590|couple|-1698707116|-152125097|-218164728|
2102502995|most|southern|bank|470682581|wife|-140490466|395262354|746565880|
-1167527815|close|wonder|apply|1494053747|hotel|-923865009|1340277462|-2098334893|
-336169949|notice|home|American|2140001860|happy|1276306130|1544107213|1207218341|
597070861|never|strong|same|-1391650798|quality|1932109566|-853765511|560391000|
-46552311|west|level|difference|-1692250957|major|-1581878412|1876413874|-1442083961|
1802857927|national|spend|above|-316950620|professional|-3778168|-1322327447|-1740426977|
-1409571408|although|less|offer|-1330013909|control|-982938697|-862190499|1733078125|
863220738|same|phone|campaign|-1991093914|great|2132041011|-2145957768|-342261001|
1193938972|environmental|land|dinner|946790810|financial|1817965155|-1102900419|-545883212|
740272360|time|business|especially|-1635008572|professor|1882385894|1353723496|728684777|
-1640646589|security|doctor|trouble|171361624|billion|1343125931|-1835794560|1778998600|
1364758623|party|determine|professor|-733297348|meeting|-376615577|-642983635|-1084935646|
-754127216|note|risk|movement|469616726|continue|-266245704|1695352404|853184620|
1202246655|place|before|plan|1554502444|fear|-12606229|754912902|-877673253|
-2110591381|today|on|recent|-977285828|hold|-285920132|306066903|675488677|
353593389|fly|experience|tonight|-796580046|life|-19551506|-1692441727|-1287734109|
2004505166|suddenly|audience|wish|-533308427|step|268348270|-140736232|1766639927|
1603600216|discussion|much|strong|-852799378|marriage|-1012540688|1472267655|-1126240925|
1559865391|say|suggest|none|-2053209399|per|2136464672|-728872348|1851058532|
-1223874176|vote|traditional|stay|301078096|begin|1307724637|-364355849|108426777|
1635123682|man|clearly|whole|-1527109589|participant|-786420554|194351075|-1533993412|
517821101|key|guess|very|316592011|cup|-759129313|-762963633|197688420|
1365730691|he|next|gas|1549864291|military|1898048549|-523580439|-2134499949|
305822640|modern|respond|poor|-815830857|good|-1699885070|-276443281|-673313961|
-1582213303|itself|decide|popular|924231538|charge|-1330542032|-371291025|582537071|
28508937|explain|city|foot|-1623305097|rich|262009504|-358066963|733771939|
1157633399|energy|seven|recent|-843132466|the|-254283348|-71638773|1763079945|
-2054209741|edge|join|budget|-1875752381|quality|-1897655195|1479667891|-16038592|
1324109655|line|value|another|1251897490|buy|-1088775885|1050840255|-1826993172|
-912016076|defense|life|soon|-821866617|sing|1857167379|1450224506|508124316|
510708497|north|network|less|397754116|sort|-26437908|942279654|1343178118|
