-1953553829|check|178667643|-1258023219|390565240|-1811500627|1780238515|game|lose|sound|best|1404114306|226636415|2029008795|suffer|field|rate|-1404821694|thought|
-443632883|huge|-1250426416|730476211|2025950762|488273666|-1830174433|year|task|way|gas|-1714052175|-631878740|-1402519476|rock|dream|could|-807617517|personal|
2005695908|our|943979102|701836406|-849670084|-1655985622|418310381|language|every|than|soon|1018924758|-828312855|299409208|smile|nearly|everything|602690561|civil|
711243043|person|-1290573229|-1454958120|-748153012|988030512|1217094591|fall|community|risk|however|-1510942024|594482537|-1847585261|part|stop|though|628307969|she|
1461980085|class|-1877669547|987685327|247602008|-717806867|1177863874|use|similar|whole|spend|-1051985109|1639936418|260790405|successful|often|difference|-98251743|carry|
388778436|quite|-1578974857|-2030486807|1595909147|-1006386722|145985337|role|especially|billion|analysis|-732786907|2048067676|575524650|country|media|card|-1364463667|specific|
2022456433|research|257955442|1455763398|344238127|-209070256|-508317612|part|here|their|range|-92642934|-460092186|-980702726|born|next|myself|50863509|decade|
-2080491153|police|504274157|1981376252|-1981912564|-1693045544|276241485|positive|part|involve|appear|-1873747435|-1252360425|1727985123|suggest|wear|do|1472425358|may|
655648635|fund|2018002863|-114657187|1429433389|1824720657|-1991997528|machine|claim|scene|option|1183648162|1880067486|109905369|total|tax|former|121670402|oil|
-373809938|manage|1553753166|-1727691911|684316993|1237602467|519722375|focus|Mrs|guy|general|756946340|-476185163|-1477294450|current|certain|behind|1328044962|note|
57565078|yes|-1066216972|1613411734|2087822206|1940059388|803992460|before|data|everybody|think|-97400198|-1991105619|604585807|thousand|prepare|growth|212477178|Congress|
-2092557719|eye|562829840|-879945733|531600609|-1407610188|-1223190785|though|however|effort|rate|1127650440|440928166|-26622752|stand|world|travel|162517678|effort|
-859964548|bit|480767949|1211212173|136601235|-926318493|251068204|offer|majority|day|meet|1326119048|929308214|819861584|clearly|small|line|83527009|daughter|
-1440541572|purpose|1327872304|486881665|-249499637|1577228688|-1317870303|meet|deal|care|impact|-825743219|1591686585|-134583018|address|drop|truth|1726242701|happy|
525942196|federal|742043488|-1033353111|-946459227|853665503|1255288798|class|meeting|rate|deep|-2049823415|-272449623|-211565085|no|three|listen|-1094051016|bring|
-947623532|very|-1048757141|1095111711|1887430306|-938069210|602570517|say|measure|good|soon|533580120|77563903|1145182224|news|story|husband|1603576154|plant|
1090443727|result|1885387831|-1408974505|-29470661|499512729|299980329|material|yeah|through|speech|1741449795|137374718|-645660177|bad|around|room|154773335|on|
753614212|pattern|632022279|1693680931|-686647786|1771206246|1975935318|accept|card|city|against|1452049755|-583791653|-1393372372|list|apply|store|261548754|politics|
-307807179|because|-1140148566|-1196242137|1829265990|271837807|1448035686|skill|chance|citizen|threat|1863045694|878558744|896832651|whose|visit|perhaps|-352135355|performance|
-294204206|push|1159675454|678287417|1409332787|280231518|1238193903|number|marriage|television|activity|20711468|1278157725|-2079145298|live|head|stay|-1982834416|draw|
-558329710|similar|1338898663|1300514515|-1387889067|-479493081|2088596148|stock|look|public|position|1346017646|-1761303317|908794456|keep|act|set|-971386154|drive|
1657604545|top|1428130256|1190320095|-689179818|-1133857136|-1535515309|production|final|room|media|227358061|-1331047172|718522080|member|season|what|404775899|research|
1648657678|career|1544442619|1121838710|-769536493|-867502604|-1684545789|town|effort|peace|song|-1387993123|-488793668|-2094169316|defense|guess|tough|-1684216635|seem|
63961234|away|2033087891|-1828848936|274796832|-1483258586|1039246056|knowledge|care|again|particularly|-1486130554|-1887586069|2093601411|let|play|person|-212336519|month|
-2053393152|foot|1938036298|-357418734|816541865|457810572|-1935750064|risk|receive|performance|financial|15949506|-1121983042|-747933155|once|month|down|-812600409|clear|
90551923|whose|-1467660686|557652031|-1959699410|-1142537320|1306308800|action|inside|lay|source|1952910574|-1637430523|-1362523263|though|officer|represent|1830159015|company|
-193915722|hold|776228582|-178645317|1048560407|2101658534|1145221937|case|consumer|fund|order|-1582145946|1492138563|-1504251367|be|three|administration|1089953856|environmental|
