-1670821498|-1680454175|740740366|924346065|
-424971326|675351054|-1019037166|1134457793|
-776869852|583841247|-467682147|60017599|
-680396189|1439347355|-1005089461|-2070843083|
-1740527388|-228996985|2010617093|-937896363|
-105456693|-1156644370|-1439114403|-1556295430|
-1369892064|-1025128848|957178694|969103833|
-439618816|1012537845|1919800489|-111693690|
-1262593602|-928684204|1580287115|169238941|
1973924215|-746752249|-1052312120|23748706|
-569681346|2032141165|1222865913|1459165903|
-1410307008|-1831576380|-1674622023|-938041250|
1938227006|-1981718678|1872519652|-550654411|
61305142|979044510|-977443925|-975306571|
282998346|-1575414420|-200019734|1782875387|
1917597776|-286857411|-1327787908|-906711690|
-1999650707|-456192384|-1085164883|-2135597131|
150983230|-672417395|59782239|-2076392782|
-326432320|-1087205474|157233426|224857507|
683730009|-318897769|-265504059|-2115756609|
-724765724|-1264102362|1469223917|-262067978|
974375782|1205892746|-1282471585|-1806597235|
1285650179|1084188122|1134783412|-448858456|
-55813519|-1391310832|-601555139|610007083|
-1467956757|121301434|615243349|1506129444|
1422907615|-1327809732|-1755488165|-1475626135|
-1001218470|-230846971|591326102|1796341626|
-1585263183|-399437774|2141076837|846515173|
-1870741123|664849409|-1579510219|1578237698|
-1144326615|-79592026|1956475029|1062572734|
804466513|1716773430|-1409542913|56037819|
-1692396266|-1702071267|1045006174|-140935334|
-1582249809|291456231|-1936915322|431656666|
-1515142081|-320277730|-413777370|550525843|
-2039530830|-1841328802|-974762818|264372778|
140653114|-1676025519|-1049527692|579109374|
-1868580207|1738797663|-1672603706|338945008|
-1950742823|-226496141|1397223064|-1812528702|
-447163741|-1754655645|956702395|1315538844|
-1613253975|280933172|-1799471356|-1508750435|
-1009949800|-42213740|-2129974108|-1540300260|
-979511062|457538153|-51635024|21294195|
1789888886|1692075857|-1807624392|1410887837|
-441033680|22412490|-1636004841|2029645115|
2092875980|-1952447385|-11086188|-446589977|
362682615|-1856396800|-435122765|-3780996|
975409972|917406582|-121611407|451848328|
589193437|338160694|-1868689438|681124365|
961701007|-1317652513|1561593311|1369847081|
179913972|-1068979431|1761573592|-1870703716|
2050674468|-563581085|113171013|874177360|
2106229062|-895354010|540792622|1763938211|
235569204|-1123217914|-1152353856|2112326893|
894032832|-887416227|-790716762|-614489892|
2097743117|1933679058|1004927067|399505515|
710448995|-103387402|-1970905656|1771546142|
-515936103|-618867047|-1473776082|1151221420|
504174327|-485656912|1299580552|702613509|
20557544|-1157069027|1123008120|1987590749|
-1865414654|166053336|1863062600|1080194918|
287628273|803270119|460333905|-1482225326|
2030188517|-1239022899|-1938537129|-1775197058|
1360314547|1524744020|-2109845779|909701444|
-1468542436|1068812437|1587869333|1646187999|
1210599689|-1544224956|-354553249|-88591039|
-829871067|-291537696|-2121226418|374301750|
1805301755|-58086082|475068234|-566743204|
-1888483380|1613259626|-509443551|-654696147|
-1061127524|-480742533|-1429096998|1092553049|
-1925295169|1865159818|-2124097867|500529514|
-1089173912|1627443747|1264327325|-1525064698|
-792113568|-1597121878|-1207790611|2125926669|
1560510837|-1317410638|-1216453869|232181881|
-1638277959|-1476441114|-1530772050|14893358|
-1833046935|-607352282|-743179193|826271114|
-1419388409|-1728598635|-1560249415|1728713033|
474579784|1900259107|-2003288237|-909924870|
1069682698|1831397798|-426430073|-1221307717|
-1676888946|655745146|2025017512|2101842066|
896989461|1171250119|1121826696|739502910|
263191287|-1386705515|-1545116846|1591749554|
769868019|1788993723|1184481174|-1228163574|
-304472261|423973747|1579844752|-259134066|
-1284515797|-1342586965|627784602|-988093018|
1523685045|679736537|-1918114349|-1972695356|
-1498520573|-1192114607|-1449590570|-488614045|
-647078803|-1309655324|-810913426|1130632547|
-1842958983|1747085944|1168232135|21180565|
-1034615443|-1599627132|-827156242|-1213638238|
-1819800610|-426464448|-238762601|-1768497479|
-830375372|2056178080|-533020915|84439135|
561860533|-1649508751|-784605604|-1104491181|
326248317|-1115163503|-2093065116|-406043845|
-1392623440|-1682718194|1225996516|-1136169488|
-1326646745|-840601409|-1976600308|-1839865543|
1960342282|657612247|-1304587155|-1926469561|
243270765|772158828|1498089370|615834122|
-674431506|-1164814306|1188156308|883878458|
-1741199273|-97913669|-880966749|150476293|
-1096449903|1080016273|216451575|177792396|
