1303813325|-592637348|332836346|38291279|576438957|680523444|912551840|-2010120120|-825027919|1351432513|457929575|2107650134|351677584|-1941370746|1149988727|664.87|42.23|968.04|957.50|181.99|723.95|892.72|654.76|493.44|its|
-298535649|247237065|-220511741|-1092451570|-793713275|1737255662|-1312503638|-690880346|1937884230|1102196121|830461470|234463156|218758041|-294482484|1619817109|51.27|965.81|22.22|837.64|137.23|416.94|805.14|320.34|952.52|together|
2078867657|-1160767584|2016700965|2139437592|-728425403|-1193483892|2084949847|324544146|1205956554|-693136143|390110327|834140588|107086814|1567649482|-1835477460|121.70|20.41|895.58|725.25|600.19|988.94|336.19|698.32|706.41|discover|
1692721943|-26610225|-1472594535|-1406035826|881536061|544036132|620576546|909810661|-1624049506|-769964007|206613986|-477695010|448459485|1662146095|411261987|576.24|204.71|436.52|621.87|850.29|307.70|303.88|733.71|388.77|phone|
-992457508|557269927|-2113911150|581818756|-1842346116|1747271771|770110475|-45190356|1831214325|-838678815|-577159767|-628062259|-1330036700|-861064399|1503529129|178.47|40.43|420.16|818.06|545.52|227.49|521.93|190.22|391.73|effect|
-1390459698|809719140|981213777|329905752|-159868072|530307917|1635662274|191164879|-1593292458|-1644964745|-831966087|-2118699294|-809411414|1502177104|26913724|916.05|978.95|52.95|446.42|5.21|669.97|615.71|133.62|284.55|test|
-1185185448|-1977495538|-1378668737|-562521537|-1188883596|1155414997|-1575478320|-660572813|-1487270075|900576282|-1989837167|741560345|2128362742|356341192|37792654|284.35|240.13|758.99|908.22|78.75|41.71|537.67|957.57|903.15|share|
602532415|216213316|613632189|-1398608580|-696769507|363290240|476434368|-1841393654|84117374|-710346154|368904319|1085656779|-296579497|1369289441|1716278028|557.81|117.65|658.69|298.92|850.77|301.93|818.74|999.17|438.00|quickly|
221801318|1876535014|819916990|-1117850554|628458713|-1790728211|988938928|1067553407|-2125143788|-1129154261|933805434|1650027487|1137758271|-1834292169|2007456882|574.32|49.52|532.47|937.12|612.84|798.29|314.26|110.67|577.26|significant|
-996533777|-973883419|-380490817|848567286|-1982315743|-301701063|554968991|997186138|-1992198380|-2079539646|-395445039|-1722763938|-1532263470|1733153728|485969689|969.72|965.85|811.51|136.32|891.59|904.63|452.96|79.55|473.43|into|
1517482825|-1940873772|-1237545034|-254586593|-1309607722|-1390170395|702027740|-2013139784|120714882|1157131799|1505696411|21632192|-1999908218|319243655|-1018624485|700.79|19.51|652.72|482.24|303.31|545.24|720.93|262.65|470.54|pick|
668961576|725991463|1749016043|1454454325|2108011571|-1340772353|443959421|-2076797504|-1701119695|1555033268|-2025979856|-1895603090|354479207|884488493|-111082054|193.15|168.90|991.03|388.56|693.12|975.59|902.25|841.10|181.39|ahead|
337543681|1282166331|-1692974993|947025271|1703097179|-54416023|1700496998|1128190474|-1488269154|1667187646|1720458675|-481074993|1828942252|1243851225|-572789501|408.42|940.11|368.30|235.35|835.43|383.84|134.38|118.90|100.47|within|
