731006362|process|911473706|-1249495818|worker|1228122352|1999548943|thus|government|decade|
169227005|small|1488641586|-1091958390|no|1385416686|-941108311|decade|grow|site|
-1920003825|man|1411070153|498347870|about|197889417|-299825|blood|later|machine|
-1044716840|spring|238849955|-1560197448|life|367491334|-694853870|different|happy|true|
1049290397|particularly|2008157348|-561021070|responsibility|1073430243|-1019838368|live|player|strong|
-307168968|law|-1789262894|631586682|responsibility|-1086851326|-1841988246|box|old|according|
-168631005|air|-1890947349|-759948120|least|535428702|-2123887980|push|bag|that|
557926555|write|824541842|-1896300680|detail|-1528894897|1927849703|another|control|state|
-1969879630|subject|187444690|1232979817|interesting|-1242224243|1446934735|would|administration|long|
-142132106|debate|580809800|1858614753|government|-1318788921|2104630452|because|trouble|coach|
-428682000|really|1021923662|690509400|respond|-1110757267|-1819662302|garden|rule|lay|
-2008626543|information|-980095809|-229408287|all|1131463764|338528731|key|vote|green|
-521444544|age|-1660813370|-576429338|take|-1457782024|1510043039|may|summer|hold|
-914146954|probably|-153816265|562210961|us|1700957326|1180708093|manage|present|so|
193053109|usually|-1717658932|-2055222403|inside|-606891719|811739210|mind|like|discuss|
-1362455421|serious|-323315479|1120716449|as|725528104|2139908845|condition|help|buy|
-1115958357|indeed|-12717917|-861888135|later|-14278449|-1730609130|time|magazine|price|
-1755371695|it|-335716139|-1767015880|magazine|1592264054|1156131621|exactly|offer|sea|
-1033592538|model|-904684110|-1471558525|room|427638486|406160759|simply|local|where|
-1212613686|develop|1240956711|1037722534|sense|1568453420|852586280|parent|offer|a|
-2012228467|citizen|-1562662934|409204708|free|485327598|-1772259741|father|hit|want|
-833171887|radio|1486566764|-1433303547|tough|1495351746|506968641|truth|organization|show|
1145818113|painting|-1008024832|313187654|everyone|721961347|-294710906|follow|free|idea|
-1000544916|last|-1480709614|-1738758700|remain|1750206427|1683550855|once|contain|career|
-1585543441|people|-1897963902|1837232365|friend|133148785|613573855|cold|read|mother|
463719272|them|1107322506|-1321040713|phone|-1953367743|-1331977815|popular|treatment|throughout|
464875597|general|-678477566|1066725471|store|1700573779|-1079210625|though|west|total|
-1812206408|usually|417980606|635617129|finally|1173294037|-58238390|activity|compare|sport|
-267097388|record|486415247|1563864315|possible|1108545060|749078375|fear|continue|trade|
-610234952|get|1995811516|-1702998018|whether|-1464733295|-1232984616|know|place|form|
-646829750|fear|-1649225070|-106988499|ability|-190050357|361961466|turn|assume|several|
1544972398|movie|1190780858|967035260|choice|-1780147236|1329590903|interest|main|performance|
-112944594|author|-1612912471|467420272|dog|1650374147|-370793157|coach|do|natural|
426448129|executive|-528303475|1787582153|he|-858978852|-338770385|really|able|begin|
1376227339|want|687626662|-1847693938|name|839510341|1171292726|financial|pick|son|
853284979|seat|381010502|-70469640|animal|-195094369|650293983|range|care|we|
390671572|she|-848769121|1763641100|above|1957082209|524601335|economy|subject|around|
1399923710|behavior|-660240251|-1217860386|board|-2099308512|-13188361|media|know|chair|
-1669643036|use|997504944|-2143988891|ask|1973988069|1466560374|old|approach|product|
