1729534168|1432011953|1995149455|price|
-356352996|1717308094|1075732763|standard|
-1701275994|1067126320|532010959|should|
1228394968|-1599489537|15375915|everybody|
67787162|56670827|-1294731494|coach|
187155954|1820991455|-336744550|end|
1594606476|-1177556069|2043301073|poor|
1743671778|1867322317|345405824|president|
-1007152271|-171023567|1859353736|day|
3157925|2082736670|1089177044|stop|
1866633507|-186645687|-1641824972|agent|
-1030863001|1862990740|-601122356|prove|
-634313755|470302260|-369677799|indeed|
-577568783|1341528031|-1848549103|record|
-47055828|-762836433|1397507566|available|
128968656|-1678491164|2141573522|dream|
1400715181|164235125|123619862|from|
779947385|1001832074|1419579696|adult|
63540813|1936395119|2027638370|almost|
-942944575|1968361485|-494473588|statement|
-1597281786|491357301|-1745155771|happen|
997828661|1200843836|1538014506|everything|
-1348350833|1792105686|-965074866|college|
-82074813|1840988545|-10025937|trial|
647705965|1995919692|-375923282|wear|
268654514|-1685902528|-2075658915|smile|
-2017936657|1109896411|614585149|unit|
818322558|405238484|-1375057170|group|
-986105190|1536542633|-1271728444|me|
-1960477646|-1625324337|426348002|current|
-1507983187|-404194917|-507365033|whose|
-665983935|1692253796|1355364348|it|
-1243759180|-1575910266|-1342689203|discussion|
1868339474|-1986006311|-1655094115|successful|
-1230171168|-930822248|-1472927824|rest|
-1221098103|-1003550131|827061267|gas|
115512575|43710451|487501889|inside|
-1808633357|663558910|158979515|couple|
2117909534|357018843|1751150955|food|
861375945|-991102167|1435406344|citizen|
-7326944|-212761942|-2017654737|performance|
-1036493023|135461222|-96231139|much|
1778079413|-1152391267|-1297028441|rather|
-1781493179|-1106012476|-1593373001|learn|
-1492327364|-419634808|891808833|us|
-342042941|279066426|1380717743|east|
1304062681|1012514720|131826671|green|
-1884286352|878517686|-1991720618|information|
712542254|1283658008|1221442745|suddenly|
-429707101|-1283391042|885207469|area|
-451119929|-1633272730|1614834544|gun|
1833407646|817454197|-2094974178|improve|
2143228871|1633197150|-1679900212|red|
-1226733269|2097137640|-803175514|college|
901572724|-294513836|-60085749|power|
1350349891|1756254202|-170785993|check|
-448986196|-1679330403|-1310980189|in|
1686622287|921080620|-1202008827|hit|
-1908233512|147989886|-1233227782|give|
1765968969|102307171|-641005259|must|
-1662808109|-1951902041|1206435456|plan|
-474093169|1488656428|105416302|consider|
-545430486|2081796881|1746045395|box|
1675122765|1753190596|-889806975|event|
505470627|-1722204195|-1136669782|debate|
-669435866|884993448|2126544791|bad|
1208383358|-144124563|1446407244|ten|
-87299812|-1705777417|-7126830|discussion|
-1043983614|1911906398|-1931867785|cold|
-1504042103|1209551356|835330458|somebody|
-2054375411|-189834887|1049799717|side|
1633546237|-336073223|-2095325302|their|
308517016|1808132471|1751470237|whole|
808252142|605507962|803799065|trouble|
-1409212700|-1152088476|-2103243110|leave|
2034098377|1451710824|-1508467803|and|
1768535269|-1785633955|-1330285133|pressure|
2134799104|-1909699126|1008573993|three|
-502302023|-181291967|1887572832|want|
1094578361|1928759938|-471819665|skill|
1289204918|1543242431|1984223937|whatever|
-377768361|230697619|-1579678943|participant|
-1928544781|-448589649|6065906|particular|
-2068514089|-1720562035|-59486164|six|
-1985084266|828262449|-569877103|of|
-818640463|-920882932|2145914767|wait|
1507135519|-1388768403|862334821|boy|
356047994|-100597005|-1326252343|attack|
-1025713235|-2050910982|-452395020|mean|
1629821753|23959481|-1313828452|card|
-1621684164|-1136266712|-813924186|admit|
391823668|1436350262|135345807|ahead|
675364605|676500397|-1741517261|analysis|
-1093739485|266843945|472128378|performance|
433182557|-854252113|1040217106|share|
296034014|-1280533365|1904077909|fight|
1421785723|664380870|-1879076746|between|
690228924|-859028017|-1755241357|sing|
502906921|-286650371|-402399962|since|
-751322550|-1709344893|1147573289|parent|
